tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
148,5.130228519439697,11.200013160705566,3.3047237396240234,9.017186164855957,16.33455467224121,8.515532493591309,17.652482986450195,8.865936279296875,0,45,0,45,0,0
149,6.21805477142334,11.149467468261719,4.379861831665039,8.843982696533203,16.533430099487305,8.511723518371582,18.170364379882812,8.95307445526123,0,45,0,45,0,0
150,7.305881023406982,11.098921775817871,5.461475372314453,8.970606803894043,17.186538696289062,8.684943199157715,18.15854835510254,8.749247550964355,0,45,0,45,0,0
151,8.393707275390625,11.048376083374023,6.543088912963867,9.097230911254883,17.10318374633789,9.002245903015137,18.510324478149414,8.457648277282715,0,45,0,45,0,0
152,9.481534004211426,10.997830390930176,7.624702453613281,9.223855018615723,17.591249465942383,9.035770416259766,18.112234115600586,8.446541786193848,0,45,0,45,0,0
153,10.569360733032227,10.947284698486328,8.706315994262695,9.350479125976562,17.95464324951172,9.614630699157715,17.74260711669922,8.208142280578613,0,45,0,45,0,0
154,11.657187461853027,10.89673900604248,9.78792953491211,9.477103233337402,18.363948822021484,10.291497230529785,16.91983413696289,8.522322654724121,0,45,0,45,0,0
155,12.745014190673828,10.846193313598633,10.869543075561523,9.603727340698242,17.856544494628906,11.196928024291992,15.97375774383545,8.949175834655762,0,45,0,45,0,0
156,13.832840919494629,10.795647621154785,11.951156616210938,9.730351448059082,16.82106590270996,11.12587833404541,15.078873634338379,9.474957466125488,0,45,0,45,0,0
157,14.92066764831543,10.745101928710938,13.032770156860352,9.856975555419922,15.789432525634766,11.011872291564941,14.432235717773438,10.160338401794434,0,45,0,45,0,0
158,14.999403953552246,9.658951759338379,14.001203536987305,9.496578216552734,15.717072486877441,11.066149711608887,14.31087589263916,10.829118728637695,0,45,0,45,0,0
159,13.930240631103516,9.452042579650879,14.892897605895996,9.253396987915039,15.476057052612305,10.82787799835205,14.9778470993042,11.056267738342285,0,45,0,45,0,0
160,12.842387199401855,9.502008438110352,15.930973052978516,9.582518577575684,15.173421859741211,10.010790824890137,15.744922637939453,10.518766403198242,0,25,0,45,0,0
161,11.754533767700195,9.551973342895508,15.636484146118164,11.143985748291016,14.137038230895996,9.954455375671387,15.932190895080566,9.541192054748535,0,35,0,45,0,0
162,10.666680335998535,9.60193920135498,14.550107955932617,11.068434715270996,13.099398612976074,9.978281021118164,15.420205116271973,8.699213027954102,0,45,4,45,0,0
163,9.578826904296875,9.651904106140137,13.465032577514648,10.976058959960938,12.061717987060547,10.000271797180176,14.390816688537598,8.831964492797852,0,45,4,45,0,0
164,8.490973472595215,9.70186996459961,12.37995719909668,10.883683204650879,11.023990631103516,10.019936561584473,13.360974311828613,8.961148262023926,0,45,4,45,0,0
165,7.403120040893555,9.751834869384766,11.294881820678711,10.79130744934082,9.986218452453613,10.037054061889648,12.330659866333008,9.086508750915527,0,45,4,45,0,0
166,6.3152666091918945,9.801800727844238,10.209806442260742,10.698930740356445,8.948403358459473,10.05135440826416,11.299851417541504,9.207744598388672,0,45,4,15,0,0
167,5.227413177490234,9.851765632629395,9.124731063842773,10.606554985046387,7.910550117492676,10.062494277954102,10.268526077270508,9.324495315551758,0,45,4,15,0,0
168,4.139559745788574,9.90173053741455,8.279094696044922,10.075237274169922,7.48919677734375,11.523282051086426,9.236654281616211,9.436323165893555,0,15,4,15,0,0
